BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02380531,SRR1015318,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02380532,SRR1015319;SRR1015320,27 (S),28 (S),29 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384921,SRR1019231,23 (S),18 (S),18 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384922,SRR1019232,22 (S),17 (I),17 (I),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384923,SRR1019233,32 (S),23 (S),25 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384924,SRR1019234,29 (S),24 (S),27 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384926,SRR1019243,28 (S),20 (S),19 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384927,SRR1019244,6 (R),6 (R),6 (R),YES,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02384928,SRR1019245,35 (S),20 (S),20 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02384929,SRR1019246,6 (R),6 (R),6 (R),YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385026,SRR1019249,27 (S),24 (S),27 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385027,SRR1019250;SRR1019251,17 (R),10 (R),13 (R),NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02385028,SRR1019252,6 (R),6 (R),6 (R),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02385029,SRR1019253,10 (R),8 (R),10 (R),YES,YES,YES,NO,NO,NO,NO,NO,YES,NO
SAMN02385032,SRR1019256,17 (R),6 (R),7 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385035,SRR1019260,31 (S),30 (S),30 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02385036,SRR1019263,30 (S),26 (S),30 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
